Aula complementar,Bimestre,CH Teórica/Prática,Competência técnica,Competências socioemocionais,Nome do componente,Código do componente,Componente de 3 ou 4 aulas semanais?,Unidade curricular,Código unidade curricular,Semana,Tema da semana,Título da aula,Habilidades técnicas,Habildades socioemocionais,Objetivo da aula,Objeto de conhecimento 
X,1,P,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Estratégias e Planejamento de Marketing,U2,4,Estratégias de Marketing Competitivo,Aula 1: Aplicação prática da Matriz PESTEL,"Aplicar as ferramentas PESTEL e SWOT para a análise do ambiente de uma empresa, reconhecendo o impacto do macroambiente e do microambiente nas estratégias de marketing.",Pensar de maneira crítica e inovadora as informações coletadas.,Aplicar a ferramenta PESTEL para análise de macroambiente de uma empresa.,1. Aplicabilidade da Matriz PESTEL
X,1,P,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Estratégias e Planejamento de Marketing,U2,4,Estratégias de Marketing Competitivo,Aula 2: Aplicação prática da Análise SWOT,"Aplicar as ferramentas PESTEL e SWOT para a análise do ambiente de uma empresa, reconhecendo o impacto do macroambiente e do microambiente nas estratégias de marketing.",Pensar de maneira crítica e inovadora as informações coletadas.,Aplicar a ferramenta Análise SWOT para análise de ambiente de uma empresa.,2. Aplicabilidade da Análise SWOT
X,1,P,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Estratégias e Planejamento de Marketing,U2,4,Estratégias de Marketing Competitivo,Aula 3:Análise prática do macroambiente e microambiente,"Aplicar as ferramentas PESTEL e SWOT para a análise do ambiente de uma empresa, reconhecendo o impacto do macroambiente e do microambiente nas estratégias de marketing.",Pensar de maneira crítica e inovadora as informações coletadas.,"Analisar na prática, de forma crítica e a partir das Matrizes PESTEL e SWOT, o impacto do macroambiente e do microambiente nas estratégias de marketing. ",3. Elaboração de documento de análise crítica do macroambiente e do microambiente de uma empresa
,Recomposição da Aprendizagem,,,,,,,,,,,,,,,
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Estratégias e Planejamento de Marketing,U2,5,Análise: Posicionamento Estratégico e Vantagem Competitiva,Aula 1: Análise da concorrência,Utilizar ferramentas de análise do mercado.,Persistir diante de desafios e complexidades.,"Identificar os concorrentes diretos e indiretos de uma empresa.
Compreender os métodos de análise dos concorrentes.",1. Identificação dos concorrentes diretos e indiretos de uma empresa
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Estratégias e Planejamento de Marketing,U2,5,Análise: Posicionamento Estratégico e Vantagem Competitiva,Aula 2: Estratégias de posicionamento,Utilizar ferramentas de análise do mercado.,Persistir diante de desafios e complexidades.,"Compreender os conceitos de posicionamento de mercado.
Identificar ferramentas e técnicas para auxiliar no posicionamento de mercado.",2. Compreensão das estratégias de posicionamento e direcionamento de mercado 
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Estratégias e Planejamento de Marketing,U2,5,Análise: Posicionamento Estratégico e Vantagem Competitiva,Aula 3: Vantagem competitiva,Utilizar ferramentas de análise do mercado.,Persistir diante de desafios e complexidades.,Compreender a aplicação de técnicas e ferramentas de vantagem competitiva no mercado.,3. Técnicas de vantagem competitiva no mercado
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Estratégias e Planejamento de Marketing,U2,6,Planejamento de Marketing,Aula 1: Definição e importância do plano de marketing,"Aplicar os conceitos fundamentais de um plano de marketing, destacando sua importância estratégica para a empresa.",Trabalhar de forma colaborativa e harmoniosa com a equipe.,Compreender a importância de um plano de marketing como um guia estratégico para que a empresa consiga alcançar seus objetivos e se destacar no mercado.,1. Plano de marketing: guia estratégico
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Estratégias e Planejamento de Marketing,U2,6,Planejamento de Marketing,Aula 2: Elementos de um plano de marketing,"Aplicar os conceitos fundamentais de um plano de marketing, destacando sua importância estratégica para a empresa.",Trabalhar de forma colaborativa e harmoniosa com a equipe.," Compreender os elementos fundamentais de um plano de marketing,  destacando a importância de cada um na formulação e na execução de estratégias de marketing eficazes.",2. Definição dos elementos de um plano de marketing
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Estratégias e Planejamento de Marketing,U2,6,Planejamento de Marketing,Aula 3: Processo de desenvolvimento do plano de marketing,"Aplicar os conceitos fundamentais de um plano de marketing, destacando sua importância estratégica para a empresa.",Trabalhar de forma colaborativa e harmoniosa com a equipe.,Compreender as etapas da criação de um plano de marketing eficaz e alinhado aos objetivos de uma empresa.,3. Escopo de um plano de marketing
